algoritmo,config,amostras,acc_coincidente,acc_nao_coincidente
KNN,K=1,10,0.95,0.625
KNN,K=3,10,0.975,0.575
KNN,K=5,10,0.975,0.675
KNN,K=7,10,0.95,0.675
WKNN,K=1,10,0.95,0.625
WKNN,K=3,10,0.975,0.575
WKNN,K=5,10,0.975,0.675
WKNN,K=7,10,0.95,0.65
SVM,"linear,C=1,gamma=scale",10,0.925,0.7
SVM,"linear,C=10,gamma=scale",10,0.925,0.7
SVM,"rbf,C=1,gamma=scale",10,0.95,0.675
SVM,"rbf,C=10,gamma=scale",10,0.925,0.7
KNN,K=1,30,0.9416666666666667,0.6666666666666666
KNN,K=3,30,0.95,0.6416666666666667
KNN,K=5,30,0.9583333333333334,0.725
KNN,K=7,30,0.95,0.7166666666666667
WKNN,K=1,30,0.9416666666666667,0.6666666666666666
WKNN,K=3,30,0.95,0.65
WKNN,K=5,30,0.9583333333333334,0.7
WKNN,K=7,30,0.95,0.7
SVM,"linear,C=1,gamma=scale",30,0.95,0.7333333333333333
SVM,"linear,C=10,gamma=scale",30,0.9416666666666667,0.7083333333333334
SVM,"rbf,C=1,gamma=scale",30,0.95,0.7333333333333333
SVM,"rbf,C=10,gamma=scale",30,0.9416666666666667,0.6916666666666667
KNN,K=1,50,0.935,0.65
KNN,K=3,50,0.94,0.635
KNN,K=5,50,0.95,0.715
KNN,K=7,50,0.95,0.71
WKNN,K=1,50,0.935,0.65
WKNN,K=3,50,0.935,0.645
WKNN,K=5,50,0.95,0.7
WKNN,K=7,50,0.95,0.69
SVM,"linear,C=1,gamma=scale",50,0.955,0.715
SVM,"linear,C=10,gamma=scale",50,0.94,0.715
SVM,"rbf,C=1,gamma=scale",50,0.955,0.72
SVM,"rbf,C=10,gamma=scale",50,0.95,0.705
