SCAN_ID,SSID,BSSID,CHANNEL,RSSI
1,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-60
1,TFMARQUES ,3E:64:CF:2C:34:3A,4,-61
1,RANDY2G,08:C7:F5:2F:2B:64,1,-77
1,Celso_2G,E8:D2:FF:A5:B5:9B,7,-80
1,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-80
1,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-82
1,Medeiros85,08:C7:F5:03:20:F2,1,-82
1,CHIODINI,24:E4:CE:8C:C0:C1,11,-82
1,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-82
1,lrhome_2G,58:2F:F7:9B:67:9E,1,-85
1,MANUELA,80:2D:1A:4F:EA:82,6,-87
1,#CLARO-WIFI,5A:2F:F7:9B:69:9F,1,-88
1,Ap1004TPLK,DE:62:79:25:48:6E,8,-88
1,fernandaRafael,30:1F:48:54:4C:50,11,-88
1,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-89
1,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-89
1,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-89
1,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-89
1,#CLARO-WIFI,3E:F9:F0:26:69:06,3,-90
1,TFMARQUES ,3E:64:CF:2C:30:8E,4,-90
1,1301T2,D8:E8:44:AB:28:6E,8,-90
1,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-90
1,APTO_501,44:3B:32:45:1D:DC,6,-91
1,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-91
1,CURUMIN,80:2D:1A:51:7B:E2,11,-91
1,#CLARO-WIFI,3E:F9:F0:68:7A:0B,3,-92
1,DULCEMOURA,30:1F:48:56:5A:80,6,-92
1,lola,80:2D:1A:50:18:8A,6,-92
1,fernandaRafael,3C:F9:F0:A6:69:06,3,-93
1,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-93
1,MariaLuiza_2G-IoT,0A:C7:F5:03:7A:90,1,-94
1,SIARA,48:96:D9:57:03:3E,10,-94
1,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-94
1,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-95
1,FAMILIA_DONIZETI,D8:E8:44:AB:53:02,9,-95
1,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-95
END_SCAN
